,shell,distance,number,total_number,coordinates
0,1,1.7320508075688772,8,8,"[[-1 -1 -1]
 [-1 -1  1]
 [ 1 -1 -1]
 [ 1 -1  1]
 [-1  1 -1]
 [-1  1  1]
 [ 1  1 -1]
 [ 1  1  1]]"
1,2,2.0,6,14,"[[ 0 -2  0]
 [-2  0  0]
 [ 0  0 -2]
 [ 0  0  2]
 [ 2  0  0]
 [ 0  2  0]]"
2,3,2.8284271247461903,12,26,"[[-2 -2  0]
 [ 0 -2 -2]
 [ 0 -2  2]
 [ 2 -2  0]
 [-2  0 -2]
 [-2  0  2]
 [ 2  0 -2]
 [ 2  0  2]
 [-2  2  0]
 [ 0  2 -2]
 [ 0  2  2]
 [ 2  2  0]]"
3,4,3.3166247903554,24,50,"[[-1 -3 -1]
 [-1 -3  1]
 [ 1 -3 -1]
 [ 1 -3  1]
 [-3 -1 -1]
 [-3 -1  1]
 [-1 -1 -3]
 [-1 -1  3]
 [ 1 -1 -3]
 [ 1 -1  3]
 [ 3 -1 -1]
 [ 3 -1  1]
 [-3  1 -1]
 [-3  1  1]
 [-1  1 -3]
 [-1  1  3]
 [ 1  1 -3]
 [ 1  1  3]
 [ 3  1 -1]
 [ 3  1  1]
 [-1  3 -1]
 [-1  3  1]
 [ 1  3 -1]
 [ 1  3  1]]"
4,5,3.4641016151377544,8,58,"[[-2 -2 -2]
 [-2 -2  2]
 [ 2 -2 -2]
 [ 2 -2  2]
 [-2  2 -2]
 [-2  2  2]
 [ 2  2 -2]
 [ 2  2  2]]"
5,6,4.0,6,64,"[[ 0 -4  0]
 [-4  0  0]
 [ 0  0 -4]
 [ 0  0  4]
 [ 4  0  0]
 [ 0  4  0]]"
6,7,4.358898943540674,24,88,"[[-3 -3 -1]
 [-3 -3  1]
 [-1 -3 -3]
 [-1 -3  3]
 [ 1 -3 -3]
 [ 1 -3  3]
 [ 3 -3 -1]
 [ 3 -3  1]
 [-3 -1 -3]
 [-3 -1  3]
 [ 3 -1 -3]
 [ 3 -1  3]
 [-3  1 -3]
 [-3  1  3]
 [ 3  1 -3]
 [ 3  1  3]
 [-3  3 -1]
 [-3  3  1]
 [-1  3 -3]
 [-1  3  3]
 [ 1  3 -3]
 [ 1  3  3]
 [ 3  3 -1]
 [ 3  3  1]]"
7,8,4.47213595499958,24,112,"[[-2 -4  0]
 [ 0 -4 -2]
 [ 0 -4  2]
 [ 2 -4  0]
 [-4 -2  0]
 [ 0 -2 -4]
 [ 0 -2  4]
 [ 4 -2  0]
 [-4  0 -2]
 [-4  0  2]
 [-2  0 -4]
 [-2  0  4]
 [ 2  0 -4]
 [ 2  0  4]
 [ 4  0 -2]
 [ 4  0  2]
 [-4  2  0]
 [ 0  2 -4]
 [ 0  2  4]
 [ 4  2  0]
 [-2  4  0]
 [ 0  4 -2]
 [ 0  4  2]
 [ 2  4  0]]"
8,9,4.898979485566356,24,136,"[[-2 -4 -2]
 [-2 -4  2]
 [ 2 -4 -2]
 [ 2 -4  2]
 [-4 -2 -2]
 [-4 -2  2]
 [-2 -2 -4]
 [-2 -2  4]
 [ 2 -2 -4]
 [ 2 -2  4]
 [ 4 -2 -2]
 [ 4 -2  2]
 [-4  2 -2]
 [-4  2  2]
 [-2  2 -4]
 [-2  2  4]
 [ 2  2 -4]
 [ 2  2  4]
 [ 4  2 -2]
 [ 4  2  2]
 [-2  4 -2]
 [-2  4  2]
 [ 2  4 -2]
 [ 2  4  2]]"
9,10,5.196152422706632,32,168,"[[-1 -5 -1]
 [-1 -5  1]
 [ 1 -5 -1]
 [ 1 -5  1]
 [-3 -3 -3]
 [-3 -3  3]
 [ 3 -3 -3]
 [ 3 -3  3]
 [-5 -1 -1]
 [-5 -1  1]
 [-1 -1 -5]
 [-1 -1  5]
 [ 1 -1 -5]
 [ 1 -1  5]
 [ 5 -1 -1]
 [ 5 -1  1]
 [-5  1 -1]
 [-5  1  1]
 [-1  1 -5]
 [-1  1  5]
 [ 1  1 -5]
 [ 1  1  5]
 [ 5  1 -1]
 [ 5  1  1]
 [-3  3 -3]
 [-3  3  3]
 [ 3  3 -3]
 [ 3  3  3]
 [-1  5 -1]
 [-1  5  1]
 [ 1  5 -1]
 [ 1  5  1]]"
10,11,5.656854249492381,12,180,"[[-4 -4  0]
 [ 0 -4 -4]
 [ 0 -4  4]
 [ 4 -4  0]
 [-4  0 -4]
 [-4  0  4]
 [ 4  0 -4]
 [ 4  0  4]
 [-4  4  0]
 [ 0  4 -4]
 [ 0  4  4]
 [ 4  4  0]]"
11,12,5.916079783099616,48,228,"[[-3 -5 -1]
 [-3 -5  1]
 [-1 -5 -3]
 [-1 -5  3]
 [ 1 -5 -3]
 [ 1 -5  3]
 [ 3 -5 -1]
 [ 3 -5  1]
 [-5 -3 -1]
 [-5 -3  1]
 [-1 -3 -5]
 [-1 -3  5]
 [ 1 -3 -5]
 [ 1 -3  5]
 [ 5 -3 -1]
 [ 5 -3  1]
 [-5 -1 -3]
 [-5 -1  3]
 [-3 -1 -5]
 [-3 -1  5]
 [ 3 -1 -5]
 [ 3 -1  5]
 [ 5 -1 -3]
 [ 5 -1  3]
 [-5  1 -3]
 [-5  1  3]
 [-3  1 -5]
 [-3  1  5]
 [ 3  1 -5]
 [ 3  1  5]
 [ 5  1 -3]
 [ 5  1  3]
 [-5  3 -1]
 [-5  3  1]
 [-1  3 -5]
 [-1  3  5]
 [ 1  3 -5]
 [ 1  3  5]
 [ 5  3 -1]
 [ 5  3  1]
 [-3  5 -1]
 [-3  5  1]
 [-1  5 -3]
 [-1  5  3]
 [ 1  5 -3]
 [ 1  5  3]
 [ 3  5 -1]
 [ 3  5  1]]"
12,13,6.0,30,258,"[[ 0 -6  0]
 [-4 -4 -2]
 [-4 -4  2]
 [-2 -4 -4]
 [-2 -4  4]
 [ 2 -4 -4]
 [ 2 -4  4]
 [ 4 -4 -2]
 [ 4 -4  2]
 [-4 -2 -4]
 [-4 -2  4]
 [ 4 -2 -4]
 [ 4 -2  4]
 [-6  0  0]
 [ 0  0 -6]
 [ 0  0  6]
 [ 6  0  0]
 [-4  2 -4]
 [-4  2  4]
 [ 4  2 -4]
 [ 4  2  4]
 [-4  4 -2]
 [-4  4  2]
 [-2  4 -4]
 [-2  4  4]
 [ 2  4 -4]
 [ 2  4  4]
 [ 4  4 -2]
 [ 4  4  2]
 [ 0  6  0]]"
13,14,6.324555320336759,24,282,"[[-2 -6  0]
 [ 0 -6 -2]
 [ 0 -6  2]
 [ 2 -6  0]
 [-6 -2  0]
 [ 0 -2 -6]
 [ 0 -2  6]
 [ 6 -2  0]
 [-6  0 -2]
 [-6  0  2]
 [-2  0 -6]
 [-2  0  6]
 [ 2  0 -6]
 [ 2  0  6]
 [ 6  0 -2]
 [ 6  0  2]
 [-6  2  0]
 [ 0  2 -6]
 [ 0  2  6]
 [ 6  2  0]
 [-2  6  0]
 [ 0  6 -2]
 [ 0  6  2]
 [ 2  6  0]]"
14,15,6.557438524302,24,306,"[[-3 -5 -3]
 [-3 -5  3]
 [ 3 -5 -3]
 [ 3 -5  3]
 [-5 -3 -3]
 [-5 -3  3]
 [-3 -3 -5]
 [-3 -3  5]
 [ 3 -3 -5]
 [ 3 -3  5]
 [ 5 -3 -3]
 [ 5 -3  3]
 [-5  3 -3]
 [-5  3  3]
 [-3  3 -5]
 [-3  3  5]
 [ 3  3 -5]
 [ 3  3  5]
 [ 5  3 -3]
 [ 5  3  3]
 [-3  5 -3]
 [-3  5  3]
 [ 3  5 -3]
 [ 3  5  3]]"
15,16,6.6332495807108,24,330,"[[-2 -6 -2]
 [-2 -6  2]
 [ 2 -6 -2]
 [ 2 -6  2]
 [-6 -2 -2]
 [-6 -2  2]
 [-2 -2 -6]
 [-2 -2  6]
 [ 2 -2 -6]
 [ 2 -2  6]
 [ 6 -2 -2]
 [ 6 -2  2]
 [-6  2 -2]
 [-6  2  2]
 [-2  2 -6]
 [-2  2  6]
 [ 2  2 -6]
 [ 2  2  6]
 [ 6  2 -2]
 [ 6  2  2]
 [-2  6 -2]
 [-2  6  2]
 [ 2  6 -2]
 [ 2  6  2]]"
16,17,6.928203230275509,8,338,"[[-4 -4 -4]
 [-4 -4  4]
 [ 4 -4 -4]
 [ 4 -4  4]
 [-4  4 -4]
 [-4  4  4]
 [ 4  4 -4]
 [ 4  4  4]]"
17,18,7.14142842854285,48,386,"[[-1 -7 -1]
 [-1 -7  1]
 [ 1 -7 -1]
 [ 1 -7  1]
 [-5 -5 -1]
 [-5 -5  1]
 [-1 -5 -5]
 [-1 -5  5]
 [ 1 -5 -5]
 [ 1 -5  5]
 [ 5 -5 -1]
 [ 5 -5  1]
 [-7 -1 -1]
 [-7 -1  1]
 [-5 -1 -5]
 [-5 -1  5]
 [-1 -1 -7]
 [-1 -1  7]
 [ 1 -1 -7]
 [ 1 -1  7]
 [ 5 -1 -5]
 [ 5 -1  5]
 [ 7 -1 -1]
 [ 7 -1  1]
 [-7  1 -1]
 [-7  1  1]
 [-5  1 -5]
 [-5  1  5]
 [-1  1 -7]
 [-1  1  7]
 [ 1  1 -7]
 [ 1  1  7]
 [ 5  1 -5]
 [ 5  1  5]
 [ 7  1 -1]
 [ 7  1  1]
 [-5  5 -1]
 [-5  5  1]
 [-1  5 -5]
 [-1  5  5]
 [ 1  5 -5]
 [ 1  5  5]
 [ 5  5 -1]
 [ 5  5  1]
 [-1  7 -1]
 [-1  7  1]
 [ 1  7 -1]
 [ 1  7  1]]"
