,shell,distance,number,total_number,coordinates
0,1,1.4142135623730951,12,12,"[[-1 -1  0]
 [ 0 -1 -1]
 [ 0 -1  1]
 [ 1 -1  0]
 [-1  0 -1]
 [-1  0  1]
 [ 1  0 -1]
 [ 1  0  1]
 [-1  1  0]
 [ 0  1 -1]
 [ 0  1  1]
 [ 1  1  0]]"
1,2,2.0,6,18,"[[ 0 -2  0]
 [-2  0  0]
 [ 0  0 -2]
 [ 0  0  2]
 [ 2  0  0]
 [ 0  2  0]]"
2,3,2.449489742783178,24,42,"[[-1 -2 -1]
 [-1 -2  1]
 [ 1 -2 -1]
 [ 1 -2  1]
 [-2 -1 -1]
 [-2 -1  1]
 [-1 -1 -2]
 [-1 -1  2]
 [ 1 -1 -2]
 [ 1 -1  2]
 [ 2 -1 -1]
 [ 2 -1  1]
 [-2  1 -1]
 [-2  1  1]
 [-1  1 -2]
 [-1  1  2]
 [ 1  1 -2]
 [ 1  1  2]
 [ 2  1 -1]
 [ 2  1  1]
 [-1  2 -1]
 [-1  2  1]
 [ 1  2 -1]
 [ 1  2  1]]"
3,4,2.8284271247461903,12,54,"[[-2 -2  0]
 [ 0 -2 -2]
 [ 0 -2  2]
 [ 2 -2  0]
 [-2  0 -2]
 [-2  0  2]
 [ 2  0 -2]
 [ 2  0  2]
 [-2  2  0]
 [ 0  2 -2]
 [ 0  2  2]
 [ 2  2  0]]"
4,5,3.1622776601683795,24,78,"[[-1 -3  0]
 [ 0 -3 -1]
 [ 0 -3  1]
 [ 1 -3  0]
 [-3 -1  0]
 [ 0 -1 -3]
 [ 0 -1  3]
 [ 3 -1  0]
 [-3  0 -1]
 [-3  0  1]
 [-1  0 -3]
 [-1  0  3]
 [ 1  0 -3]
 [ 1  0  3]
 [ 3  0 -1]
 [ 3  0  1]
 [-3  1  0]
 [ 0  1 -3]
 [ 0  1  3]
 [ 3  1  0]
 [-1  3  0]
 [ 0  3 -1]
 [ 0  3  1]
 [ 1  3  0]]"
5,6,3.4641016151377544,8,86,"[[-2 -2 -2]
 [-2 -2  2]
 [ 2 -2 -2]
 [ 2 -2  2]
 [-2  2 -2]
 [-2  2  2]
 [ 2  2 -2]
 [ 2  2  2]]"
6,7,3.7416573867739413,48,134,"[[-2 -3 -1]
 [-2 -3  1]
 [-1 -3 -2]
 [-1 -3  2]
 [ 1 -3 -2]
 [ 1 -3  2]
 [ 2 -3 -1]
 [ 2 -3  1]
 [-3 -2 -1]
 [-3 -2  1]
 [-1 -2 -3]
 [-1 -2  3]
 [ 1 -2 -3]
 [ 1 -2  3]
 [ 3 -2 -1]
 [ 3 -2  1]
 [-3 -1 -2]
 [-3 -1  2]
 [-2 -1 -3]
 [-2 -1  3]
 [ 2 -1 -3]
 [ 2 -1  3]
 [ 3 -1 -2]
 [ 3 -1  2]
 [-3  1 -2]
 [-3  1  2]
 [-2  1 -3]
 [-2  1  3]
 [ 2  1 -3]
 [ 2  1  3]
 [ 3  1 -2]
 [ 3  1  2]
 [-3  2 -1]
 [-3  2  1]
 [-1  2 -3]
 [-1  2  3]
 [ 1  2 -3]
 [ 1  2  3]
 [ 3  2 -1]
 [ 3  2  1]
 [-2  3 -1]
 [-2  3  1]
 [-1  3 -2]
 [-1  3  2]
 [ 1  3 -2]
 [ 1  3  2]
 [ 2  3 -1]
 [ 2  3  1]]"
7,8,4.0,6,140,"[[ 0 -4  0]
 [-4  0  0]
 [ 0  0 -4]
 [ 0  0  4]
 [ 4  0  0]
 [ 0  4  0]]"
8,9,4.242640687119285,36,176,"[[-1 -4 -1]
 [-1 -4  1]
 [ 1 -4 -1]
 [ 1 -4  1]
 [-3 -3  0]
 [ 0 -3 -3]
 [ 0 -3  3]
 [ 3 -3  0]
 [-4 -1 -1]
 [-4 -1  1]
 [-1 -1 -4]
 [-1 -1  4]
 [ 1 -1 -4]
 [ 1 -1  4]
 [ 4 -1 -1]
 [ 4 -1  1]
 [-3  0 -3]
 [-3  0  3]
 [ 3  0 -3]
 [ 3  0  3]
 [-4  1 -1]
 [-4  1  1]
 [-1  1 -4]
 [-1  1  4]
 [ 1  1 -4]
 [ 1  1  4]
 [ 4  1 -1]
 [ 4  1  1]
 [-3  3  0]
 [ 0  3 -3]
 [ 0  3  3]
 [ 3  3  0]
 [-1  4 -1]
 [-1  4  1]
 [ 1  4 -1]
 [ 1  4  1]]"
9,10,4.47213595499958,24,200,"[[-2 -4  0]
 [ 0 -4 -2]
 [ 0 -4  2]
 [ 2 -4  0]
 [-4 -2  0]
 [ 0 -2 -4]
 [ 0 -2  4]
 [ 4 -2  0]
 [-4  0 -2]
 [-4  0  2]
 [-2  0 -4]
 [-2  0  4]
 [ 2  0 -4]
 [ 2  0  4]
 [ 4  0 -2]
 [ 4  0  2]
 [-4  2  0]
 [ 0  2 -4]
 [ 0  2  4]
 [ 4  2  0]
 [-2  4  0]
 [ 0  4 -2]
 [ 0  4  2]
 [ 2  4  0]]"
